elmis_title,amharic,sector,sub_sector,professional_formal,stage1_best_score,stage1_best_label,stage1_best_uri,stage2_decision,stage2_selected_index,stage2_selected_label,stage2_selected_uri,stage2_selected_isco4,stage2_confidence,stage2_rationale,llm_provider,llm_model,raw_response
Junior Core Banking Systems Pre Sales Engineer,ጁኒየር ኮር ባንኪንግ ሲስተምስ የቅድመ ሽያጭ መሐንዲስ,ICT and digital work,Software Design Development and Implementation Works,P,0.7734,corporate banking manager,http://data.europa.eu/esco/occupation/d2d451cc-e839-4192-be54-d7724814aa03,no_match,,,,,high,"The ELMIS title describes an ICT software pre-sales role, whereas the candidates focus on banking business management, manufacturing, or non-ICT technical support.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes an ICT software pre-sales role, whereas the candidates focus on banking business management, manufacturing, or non-ICT technical support.""}"
junior corporate sales Officer,ጁኒየር የኮርፖሬት ሽያጭ ኦፊሰር,Business,Wholesale business in specialized stores,P,0.8374,sales manager,http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c,match,4.0,commercial sales representative,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,3322,high,"The term 'corporate sales' translates directly to B2B sales, which is precisely defined in the commercial sales representative occupation.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""high"", ""rationale"": ""The term 'corporate sales' translates directly to B2B sales, which is precisely defined in the commercial sales representative occupation.""}"
Junior Cost & Budget Accountant,የጁኒየር ወጭ እና የበጀት አካውንታንት,Service,Accounting audit and adminstrative works,P,0.786,budget analyst,http://data.europa.eu/esco/occupation/4e4a291d-1d38-4c5a-812a-5827d0691b11,match,4.0,cost analyst,http://data.europa.eu/esco/occupation/84871c2a-abd1-45eb-b03a-65e51a26fd84,2411,high,"The ESCO cost analyst description explicitly covers both cost and budgeting analyses, matching both functional components of the ELMIS title.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""high"", ""rationale"": ""The ESCO cost analyst description explicitly covers both cost and budgeting analyses, matching both functional components of the ELMIS title.""}"
"Junior Crisis, Conflict, Disaster Advisor","ጁኒየር ቀውስ, ግጭት, የአደጋ አማካሪ",Service,Social work services,P,0.8017,ICT disaster recovery analyst,http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,match,3.0,humanitarian advisor,http://data.europa.eu/esco/occupation/3fa31588-2e4d-49c3-b839-4b615cc62742,2422,high,"The humanitarian advisor role closely matches the advisor function for crises, conflicts, and disasters within the specified social work services sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""The humanitarian advisor role closely matches the advisor function for crises, conflicts, and disasters within the specified social work services sector.""}"
Junior Customer Accounts and Due Diligence Officer,ጁኒየር የደንበኛ መለያዎች እና ተገቢ ትጋት ኦፊሰር,Service,Finance and Administration Services,P,0.7566,customer service representative,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,match,3.0,bank account manager,http://data.europa.eu/esco/occupation/5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6,3312,medium,"The role involves managing customer accounts and related documentation in a financial context, which aligns best with the bank account manager's responsibilities of account setup and documentation management.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""The role involves managing customer accounts and related documentation in a financial context, which aligns best with the bank account manager's responsibilities of account setup and documentation management.""}"
Junior Customer Care officer,ጁኒየር የደንበኛ እንክብካቤ መኮንን,Service,Other services,P,0.8366,customer service representative,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,match,1.0,customer service representative,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,4225,high,The ELMIS title 'Customer Care officer' directly corresponds to the functions of a customer service representative in handling customer relations and satisfaction.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'Customer Care officer' directly corresponds to the functions of a customer service representative in handling customer relations and satisfaction.""}"
Junior Customer Relation Officers/External,ጁኒየር የደንበኞች ግንኙነት ኦፊሰሮች/ውጫዊ,Service,Other services,P,0.7797,customer service representative,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,match,1.0,customer service representative,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,4225,medium,The ELMIS title 'Customer Relation Officer' aligns most closely with the functional duties of a 'customer service representative' in managing customer satisfaction and goodwill.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title 'Customer Relation Officer' aligns most closely with the functional duties of a 'customer service representative' in managing customer satisfaction and goodwill.""}"
Junior Customs Assessor,ጁኒየር የጉምሩክ ገምጋሚ,Service,Inspection,P,0.8048,customs and excise officer,http://data.europa.eu/esco/occupation/a3ef0728-7540-4676-ad18-cf0a7913b3ce,match,2.0,customs officer,http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d,3351,high,"A Junior Customs Assessor is a government official responsible for inspecting goods and verifying tax compliance, which aligns precisely with the ESCO description for a customs officer (ISCO 3351).",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""A Junior Customs Assessor is a government official responsible for inspecting goods and verifying tax compliance, which aligns precisely with the ESCO description for a customs officer (ISCO 3351).""}"
Junior Customs Transitor,ጁኒየር ጉምሩክ ትራንዚተ,Service,Logistics Supply and Support Services (outside of other business sectors),P,0.8266,customs officer,http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d,match,2.0,customs and excise officer,http://data.europa.eu/esco/occupation/a3ef0728-7540-4676-ad18-cf0a7913b3ce,3331,high,"In the Ethiopian and regional context, a 'transitor' is a clearing and forwarding agent, which corresponds to Candidate 2 (ISCO 3331).",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""In the Ethiopian and regional context, a 'transitor' is a clearing and forwarding agent, which corresponds to Candidate 2 (ISCO 3331).""}"
Junior Data Center Engineer,ጁኒየር የውሂብ ማዕከል መሐንዲስ,ICT and digital work,Data Center Hosting Services,P,0.8124,data scientist,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,match,3.0,data centre operator,http://data.europa.eu/esco/occupation/9729c0f3-c9bc-482e-ac59-a82ec3b67ba3,3511,medium,"Candidate 3 is the most precise domain match for data center operations and maintenance, although it is classified as a technician role while the ELMIS title is listed as professional.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""Candidate 3 is the most precise domain match for data center operations and maintenance, although it is classified as a technician role while the ELMIS title is listed as professional.""}"
Junior Data Encoder,ጁኒየር ዳታ ኢንኮደር,ICT and digital work,Database organization and data processing,P,0.7216,clinical coder,http://data.europa.eu/esco/occupation/6219f0ef-6414-4d01-9221-41ac25dcb409,no_match,,,,,high,"None of the provided candidates describe a general junior data entry or encoding role; the options are either domain-specific to healthcare, far more senior, or in unrelated fields.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the provided candidates describe a general junior data entry or encoding role; the options are either domain-specific to healthcare, far more senior, or in unrelated fields.""}"
Junior Delivery Driver,ጁኒየር መላኪያ ሹፌር,"Logistics, transportation and communication",Other supportive transportation services,I,0.8107,truck driving instructor,http://data.europa.eu/esco/occupation/c29f1a42-25cb-4192-9bc1-cc7560c00590,match,2.0,cargo vehicle driver,http://data.europa.eu/esco/occupation/45037d43-a8f5-4f46-b332-b2935bc305f4,8332,high,"The candidate 'cargo vehicle driver' includes operating vans and trucks for transport, which directly corresponds to the duties of a delivery driver.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The candidate 'cargo vehicle driver' includes operating vans and trucks for transport, which directly corresponds to the duties of a delivery driver.""}"
Junior Designer,ጁኒየር ዲዛይነር,Service,Other services,P,0.8469,industrial designer,http://data.europa.eu/esco/occupation/ab7bccb2-6f81-4a3d-a0c0-fca5d47d2775,no_match,,,,,medium,"The ELMIS title 'Junior Designer' is too generic to match any of the specific design disciplines provided (industrial, fashion, production, etc.) without further domain context.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title 'Junior Designer' is too generic to match any of the specific design disciplines provided (industrial, fashion, production, etc.) without further domain context.""}"
Junior Desktop Technician,ጁኒየር ዴስክቶፕ ቴክኒሽያን,ICT and digital work,Computer network design deployment and implementation tasks,P,0.8401,computer hardware engineering technician,http://data.europa.eu/esco/occupation/38a7f453-a7f0-45d2-a74d-5b92506e4a21,match,3.0,computer hardware repair technician,http://data.europa.eu/esco/occupation/b7aa4b4e-dbb6-4f58-b36c-35b9a7267972,7422,high,"A Junior Desktop Technician primarily installs, tests, and repairs computer hardware and peripherals, which is the exact definition of a computer hardware repair technician.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""A Junior Desktop Technician primarily installs, tests, and repairs computer hardware and peripherals, which is the exact definition of a computer hardware repair technician.""}"
Junior direct/showroom sales,ጁኒየር ቀጥታ/ማሳያ ክፍል ሽያጭ,Business,Retail trade in specialized stores,P,0.7625,commercial sales representative,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,no_match,,,,,high,"The candidates provided are either highly technical (chemical, machinery), B2B-focused (commercial sales representative), or product-specific (confectionery), whereas the ELMIS title describes a general junior showroom/retail sales role.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The candidates provided are either highly technical (chemical, machinery), B2B-focused (commercial sales representative), or product-specific (confectionery), whereas the ELMIS title describes a general junior showroom/retail sales role.""}"
